Program,Year,Semester,Course Code,Descriptive Title,Lec Units,Lab Units,Total Units,Pre-requisite,Type
BSCS,1,1,ENTREP101,The Entrepreneurial Mind,3,0,3,None,Core
BSCS,1,1,SOCIO 101,The Contemporary World,3,0,3,None,Core
BSCS,1,1,HUM 101,Art Appreciation,3,0,3,None,Core
BSCS,1,1,MATH 101,Mathematics in the Modern World,3,0,3,None,Core
BSCS,1,1,CC-INTCOM11,Introduction to Computing,3,0,3,None,Core
BSCS,1,1,CC-COMPROG11,Computer Programming 1,2,1,3,None,Core
BSCS,1,1,PE 101,Movement Competency Training (PATHFit 1),2,0,2,None,Core
BSCS,1,1,NSTP 101,Nat'l Service Training Program 1,3,0,3,None,Core
BSCS,1,2,PSYCH 101,Understanding the Self,3,0,3,None,Core
BSCS,1,2,ENGL 101,Purposive Communication,3,0,3,None,Core
BSCS,1,2,HIST 101,Readings in Philippine History,3,0,3,None,Core
BSCS,1,2,CC-COMPROG12,Computer Programming 2,2,1,3,CC-COMPROG11,Core
BSCS,1,2,CS-DISCRET12,Discrete Structures 1,3,0,3,CC-INTCOM11,Core
BSCS,1,2,CC-TWRITE12,Tech. Writing & Presentation Skills in IT,3,0,3,"ENTREP101, CC-INTCOM11",Core
BSCS,1,2,PE 102,Exercise-based Fitness Activities (PATHFit 2),2,0,2,PE 101,Core
BSCS,1,2,NSTP 102,Nat'l Service Training Program 2,3,0,3,NSTP 101,Core
BSCS,2,1,STS 101,"Science, Technology & Society",3,0,3,None,Core
BSCS,2,1,RIZAL 101,"Life, Works & Writings of Dr. Jose Rizal",3,0,3,None,Core
BSCS,2,1,CS-DISCRET21,Discrete Structures 2,3,0,3,CS-DISCRET12,Core
BSCS,2,1,CC-DASTRUC21,Data Structures & Algorithms,2,1,3,CC-COMPROG12,Core
BSCS,2,1,CC-QUAMETH21,Quantitative Methods w/ Prob. & Stat.,3,0,3,CS-DISCRET12,Core
BSCS,2,1,CS-DIFFCAL21,Differential Calculus,3,0,3,CS-DISCRET12,Core
BSCS,2,1,CS-OOPROG21,Object Oriented Programming,2,1,3,CC-COMPROG12,Core
