Program,Year,Semester,Course Code,Descriptive Title,Lec Units,Lab Units,Total Units,Pre-requisite,Type
BSCS,1,1,ENTREP101,The Entrepreneurial Mind,3,0,3,None,Core
BSCS,1,1,SOCIO 101,The Contemporary World,3,0,3,None,Core
BSCS,1,1,HUM 101,Art Appreciation,3,0,3,None,Core
BSCS,1,1,MATH 101,Mathematics in the Modern World,3,0,3,None,Core
BSCS,1,1,CC-INTCOM11,Introduction to Computing,3,0,3,None,Core
BSCS,1,1,CC-COMPROG11,Computer Programming 1,2,1,3,None,Core
BSCS,1,1,PE 101,Movement Competency Training (PATHFit 1),2,0,2,None,Core
BSCS,1,1,NSTP 101,Nat'l Service Training Program 1,3,0,3,None,Core
BSCS,1,2,PSYCH 101,Understanding the Self,3,0,3,None,Core
BSCS,1,2,ENGL 101,Purposive Communication,3,0,3,None,Core
BSCS,1,2,HIST 101,Readings in Philippine History,3,0,3,None,Core
BSCS,1,2,CC-COMPROG12,Computer Programming 2,2,1,3,CC-COMPROG11,Core
BSCS,1,2,CS-DISCRET12,Discrete Structures 1,3,0,3,CC-INTCOM11,Core
BSCS,1,2,CC-TWRITE12,Tech. Writing & Presentation Skills in IT,3,0,3,"ENTREP101, CC-INTCOM11",Core
BSCS,1,2,PE 102,Exercise-based Fitness Activities (PATHFit 2),2,0,2,PE 101,Core
BSCS,1,2,NSTP 102,Nat'l Service Training Program 2,3,0,3,NSTP 101,Core
BSCS,2,1,STS 101,"Science, Technology & Society",3,0,3,None,Core
BSCS,2,1,RIZAL 101,"Life, Works & Writings of Dr. Jose Rizal",3,0,3,None,Core
BSCS,2,1,CS-DISCRET21,Discrete Structures 2,3,0,3,CS-DISCRET12,Core
BSCS,2,1,CC-DASTRUC21,Data Structures & Algorithms,2,1,3,CC-COMPROG12,Core
BSCS,2,1,CC-QUAMETH21,Quantitative Methods w/ Prob. & Stat.,3,0,3,CS-DISCRET12,Core
BSCS,2,1,CS-DIFFCAL21,Differential Calculus,3,0,3,CS-DISCRET12,Core
BSCS,2,1,CS-OOPROG21,Object Oriented Programming,2,1,3,CC-COMPROG12,Core
BSCS,2,1,PE 103,Sports and Dance (PATHFit 3),2,0,2,PE 102,Core
BSCS,2,2,SOCIO 102,Gender and Society,3,0,3,None,Core
BSCS,2,2,PHILO 101,Ethics,3,0,3,None,Core
BSCS,2,2,CC-DIGILOG22,Digital Logic Design,2,1,3,CS-DISCRET21,Core
BSCS,2,2,CC-APPSDEV22,Applications Dev't & Emerging Tech.,2,1,3,CC-DASTRUC21,Core
BSCS,2,2,CS-DAALGO22,Design and Analysis of Algorithms,2,1,3,CC-DASTRUC21,Core
BSCS,2,2,CC-DATACOM22,Data Communications,2,1,3,CC-INTCOM11,Core
BSCS,2,2,CS-INTCALC22,Integral Calculus,3,0,3,CS-DIFFCAL21,Core
BSCS,2,2,PE 104,"Sports, Outdoor and Adventure (PATHFit 4)",2,0,2,PE 103,Core
BSCS,3,1,CS-IMDBSYS31,Information Management (DB Sys),2,1,3,CC-APPSDEV22,Core
BSCS,3,1,CS-PROGLAN31,Programming Languages,2,1,3,CC-DIGILOG22,Core
BSCS,3,1,CS-SOFTENG31,Software Engineering 1,3,0,3,"CS-OOPROG21, CS-DAALGO22",Core
BSCS,3,1,CC-HCI31,Human Computer Interaction,2,1,3,CC-APPSDEV22,Core
BSCS,3,1,CC-RESCOM31,Methods of Research in Computing,3,0,3,"CC-QUAMETH21, CC-TWRITE12",Core
BSCS,3,1,CS-COMORG31,Comp. Organization & Assembly Lang.,2,1,3,CC-DIGILOG22,Core
BSCS,3,1,CS-EL,CS Elective 1,3,0,3,**,Core
BSCS,3,1,CS-FRE,Free Elective 2,3,0,3,**,Core
BSCS,3,2,LIT 101,Literatures of the World,3,0,3,None,Core
BSCS,3,2,CS-AUTOLAN32,Automata & Language Theory,3,0,3,CS-PROGLAN31,Core
BSCS,3,2,CS-INFOSEC32,Information Assurance & Security,3,0,3,CS-IMDBSYS31,Core
BSCS,3,2,CS-SOFTENG32,Software Engineering 2,2,1,3,CS-SOFTENG31,Core
BSCS,3,2,CC-GRAPHICS32,Graphics and Visual Computing,2,1,3,CS-PROGLAN31,Core
BSCS,3,2,CS-OPSYS32,Operating Systems,3,0,3,CS-COMORG31,Core
BSCS,3,2,CS-EL,CS Elective 2,2,1,3,**,Core
BSCS,3,2,CS-FRE,Free Elective 1,3,0,3,**,Core
BSCS,4,1,CS-THESIS41,Thesis 1,3,0,3,***,Core
BSCS,4,1,CS-PRACT41,Practicum,3,0,3,***,Core
BSCS,4,1,CS-EL,CS Elective 3,3,0,3,***,Core
BSCS,4,2,CS-THESIS42,Thesis 2,3,0,3,CS-THESIS41,Core
BSCS,4,2,CC-PROFIS10,Professional Issues in Computing,3,0,3,***,Core
BSCS,4,2,CS-FRE,Free Elective 3,3,0,3,***,Core
BSCS,4,2,ELDNET1,.NET Programming Module 1,3,0,3,CS-IMDBSYS31,Elective
BSCS,3,1,ELDROID1,ANDROID Programming Module 1,3,0,3,CC-APPSDEV22,Elective
BSCS,3,2,ELDROID2,ANDROID Programming Module 2,3,0,3,ELDROID1,Elective
BSCS,4,2,ELEMSYS,Embedded Systems & IoT,3,0,3,**,Elective
BSCS,4,1,FRETRNDS,Emerging Technologies in ICT,3,0,3,**,Free Elective
BSCS,3,2,FRECD,Introduction to Compiler Design,3,0,3,***,Free Elective
BSCS,3,1,FREAI,Fundamentals of Artificial Intelligence,3,0,3,**,Free Elective
