shortname,fullname,category_path,startdate,enddate,visible
ENTREP101,The Entrepreneurial Mind,todo,todo,todo,1
SOCIO 101,The Contemporary World,todo,todo,todo,1
HUM 101,Art Appreciation,todo,todo,todo,1
MATH 101,Mathematics in the Modern World,todo,todo,todo,1
CC-INTCOM11,Introduction to Computing,todo,todo,todo,1
CC-COMPROG11,Computer Programming 1,todo,todo,todo,1
PE 101,Movement Competency Training (PATHFit 1),todo,todo,todo,1
NSTP 101,Nat'l Service Training Program 1,todo,todo,todo,1
PSYCH 101,Understanding the Self,todo,todo,todo,1
ENGL 101,Purposive Communication,todo,todo,todo,1
HIST 101,Readings in Philippine History,todo,todo,todo,1
CC-COMPROG12,Computer Programming 2,todo,todo,todo,1
CS-DISCRET12,Discrete Structures 1,todo,todo,todo,1
CC-TWRITE12,Tech. Writing & Presentation Skills in IT,todo,todo,todo,1
PE 102,Exercise-based Fitness Activities (PATHFit 2),todo,todo,todo,1
NSTP 102,Nat'l Service Training Program 2,todo,todo,todo,1
STS 101,"Science, Technology & Society",todo,todo,todo,1
RIZAL 101,"Life, Works & Writings of Dr. Jose Rizal",todo,todo,todo,1
CS-DISCRET21,Discrete Structures 2,todo,todo,todo,1
CC-DASTRUC21,Data Structures & Algorithms,todo,todo,todo,1
CC-QUAMETH21,Quantitative Methods w/ Prob. & Stat.,todo,todo,todo,1
CS-DIFFCAL21,Differential Calculus,todo,todo,todo,1
CS-OOPROG21,Object Oriented Programming,todo,todo,todo,1
PE 103,Sports and Dance (PATHFit 3),todo,todo,todo,1
SOCIO 102,Gender and Society,todo,todo,todo,1
PHILO 101,Ethics,todo,todo,todo,1
CC-DIGILOG22,Digital Logic Design,todo,todo,todo,1
CC-APPSDEV22,Applications Dev't & Emerging Tech.,todo,todo,todo,1
CS-DAALGO22,Design and Analysis of Algorithms,todo,todo,todo,1
CC-DATACOM22,Data Communications,todo,todo,todo,1
CS-INTCALC22,Integral Calculus,todo,todo,todo,1
PE 104,"Sports, Outdoor and Adventure (PATHFit 4)",todo,todo,todo,1
CS-IMDBSYS31,Information Management (DB Sys),todo,todo,todo,1
CS-PROGLAN31,Programming Languages,todo,todo,todo,1
CS-SOFTENG31,Software Engineering 1,todo,todo,todo,1
CC-HCI31,Human Computer Interaction,todo,todo,todo,1
CC-RESCOM31,Methods of Research in Computing,todo,todo,todo,1
CS-COMORG31,Comp. Organization & Assembly Lang.,todo,todo,todo,1
CS-EL,CS Elective 1,todo,todo,todo,1
CS-FRE,Free Elective 2,todo,todo,todo,1
LIT 101,Literatures of the World,todo,todo,todo,1
CS-AUTOLAN32,Automata & Language Theory,todo,todo,todo,1
CS-INFOSEC32,Information Assurance & Security,todo,todo,todo,1
CS-SOFTENG32,Software Engineering 2,todo,todo,todo,1
CC-GRAPHICS32,Graphics and Visual Computing,todo,todo,todo,1
CS-OPSYS32,Operating Systems,todo,todo,todo,1
CS-EL,CS Elective 2,todo,todo,todo,1
CS-FRE,Free Elective 1,todo,todo,todo,1
CS-THESIS41,Thesis 1,todo,todo,todo,1
CS-PRACT41,Practicum,todo,todo,todo,1
CS-EL,CS Elective 3,todo,todo,todo,1
CS-THESIS42,Thesis 2,todo,todo,todo,1
CC-PROFIS10,Professional Issues in Computing,todo,todo,todo,1
CS-FRE,Free Elective 3,todo,todo,todo,1
ENTREP 101,The Entrepreneurial Mind,todo,todo,todo,1
SOCIO 101,The Contemporary World,todo,todo,todo,1
MATH 101,Mathematics in the Modern World,todo,todo,todo,1
CC-INTCOM11,Introduction to Computing,todo,todo,todo,1
CC-COMPROG11,Computer Programming 1,todo,todo,todo,1
IT-WEBDEV11,Web Design & Development,todo,todo,todo,1
PE 101,Movement Competency Training (PATHFit 1),todo,todo,todo,1
NSTP 101,National Service Training Program 1,todo,todo,todo,1
HUM 101,Art Appreciation,todo,todo,todo,1
ENGL 101,Purposive Communication,todo,todo,todo,1
PSYCH 101,Understanding the Self,todo,todo,todo,1
HIST 101,Readings in Philippine History,todo,todo,todo,1
