shortname,fullname,category_path,startdate,enddate,visible
UCB-S12526-ENTREP101-83229,The Entrepreneurial Mind,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-SOCIO101-51926,The Contemporary World,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-MATH101-31171,Mathematics in the Modern World,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-CC-INTCOM11-56080,Introduction to Computing,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-CC-COMPROG11-46743,Computer Programming 1,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-IT-WEBDEV11-64182,Web Design & Development,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-PE101-52318,Movement Competency Training (PATHFit 1),UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-NSTP101-92455,National Service Training Program 1,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S22526-HUM101-03169,Art Appreciation,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-ENGL101-62557,Purposive Communication,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-PSYCH101-40852,Understanding the Self,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-HIST101-35415,Readings in Philippine History,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-CC-COMPROG12-79966,Computer Programming 2,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-CC-DISCRET12-85217,Discrete Structures,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-PE102-70187,Exercise-based Fitness Activities (PATHFit 2),UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-NSTP102-78311,National Service Training Program 2,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S12526-STS101-04201,"Science, Technology & Society",UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-RIZAL101-65920,"Life, Works & Writings of Dr. Jose Rizal",UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-CC-DIGILOG21-02289,Digital Logic Design,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-IT-OOPROG21-22431,Object Oriented Programming,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-IT-SAD21-68660,System Analysis & Design,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-CC-ACCTG21-87223,Accounting for IT,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-CC-TWRITE21-17630,Technical Writing & Presentation Skills in IT,UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S12526-PE103-63873,Sports and Dance (PATHFit 3),UCB / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCB-S22526-SOCIO102-39991,Gender and Society,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-PHILO101-90231,Ethics,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-CC-QUAMETH22-97886,Quantitative Methods w/ Prob. & Stat.,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCB-S22526-IT-PLATECH22-44699,Platform Technologies w/ Op. Sys.,UCB / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
