shortname,fullname,category_path,startdate,enddate,visible
UCLM-S12526-ENTREP101-85007,The Entrepreneurial Mind,UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-SOCIO101-37296,The Contemporary World,UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-HUM101-82669,Art Appreciation,UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-MATH101-57116,Mathematics in the Modern World,UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-CC-INTCOM11-71659,Introduction to Computing,UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-CC-COMPROG11-81968,Computer Programming 1,UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-PE101-96728,Movement Competency Training (PATHFit 1),UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-NSTP101-12687,Nat'l Service Training Program 1,UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S22526-PSYCH101-05172,Understanding the Self,UCLM / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
UCLM-S22526-ENGL101-68438,Purposive Communication,UCLM / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
UCLM-S22526-HIST101-70572,Readings in Philippine History,UCLM / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
UCLM-S22526-CC-COMPROG12-84626,Computer Programming 2,UCLM / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
UCLM-S22526-CS-DISCRET12-86198,Discrete Structures 1,UCLM / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
UCLM-S22526-CC-TWRITE12-73184,Tech. Writing & Presentation Skills in IT,UCLM / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
UCLM-S22526-PE102-54163,Exercise-based Fitness Activities (PATHFit 2),UCLM / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
UCLM-S22526-NSTP102-91885,Nat'l Service Training Program 2,UCLM / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
UCLM-S12526-STS101-38399,"Science, Technology & Society",UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-RIZAL101-84818,"Life, Works & Writings of Dr. Jose Rizal",UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-CS-DISCRET21-44599,Discrete Structures 2,UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-CC-DASTRUC21-90583,Data Structures & Algorithms,UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-CC-QUAMETH21-13019,Quantitative Methods w/ Prob. & Stat.,UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-CS-DIFFCAL21-71336,Differential Calculus,UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-CS-OOPROG21-25843,Object Oriented Programming,UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-PE103-76421,Sports and Dance (PATHFit 3),UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S22526-SOCIO102-54912,Gender and Society,UCLM / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
UCLM-S22526-PHILO101-40010,Ethics,UCLM / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
UCLM-S22526-CC-DIGILOG22-27615,Digital Logic Design,UCLM / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
UCLM-S22526-CC-APPSDEV22-71679,Applications Dev't & Emerging Tech.,UCLM / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
UCLM-S22526-CS-DAALGO22-30754,Design and Analysis of Algorithms,UCLM / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
UCLM-S22526-CC-DATACOM22-32929,Data Communications,UCLM / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
UCLM-S22526-CS-INTCALC22-21504,Integral Calculus,UCLM / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
UCLM-S22526-PE104-04605,"Sports, Outdoor and Adventure (PATHFit 4)",UCLM / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
UCLM-S12526-CS-IMDBSYS31-23078,Information Management (DB Sys),UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-CS-PROGLAN31-29140,Programming Languages,UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-CS-SOFTENG31-58592,Software Engineering 1,UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-CC-HCI31-11549,Human Computer Interaction,UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-CC-RESCOM31-82783,Methods of Research in Computing,UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-CS-COMORG31-93748,Comp. Organization & Assembly Lang.,UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-CS-EL-95001,CS Elective 1,UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S12526-CS-FRE-51918,Free Elective 2,UCLM / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
UCLM-S22526-LIT101-33961,Literatures of the World,UCLM / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
UCLM-S22526-CS-AUTOLAN32-33688,Automata & Language Theory,UCLM / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
UCLM-S22526-CS-INFOSEC32-28196,Information Assurance & Security,UCLM / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
