shortname,fullname,category_path,startdate,enddate,visible
UCLM-S12526-ENTREP101-72315,The Entrepreneurial Mind,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-SOCIO101-97457,The Contemporary World,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-MATH101-60593,Mathematics in the Modern World,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-CC-INTCOM11-39015,Introduction to Computing,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-CC-COMPROG11-42759,Computer Programming 1,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-IT-WEBDEV11-06446,Web Design & Development,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-PE101-34887,Movement Competency Training (PATHFit 1),UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-NSTP101-49513,National Service Training Program 1,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S22526-HUM101-79379,Art Appreciation,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-ENGL101-49635,Purposive Communication,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-PSYCH101-43258,Understanding the Self,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-HIST101-00637,Readings in Philippine History,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-CC-COMPROG12-28005,Computer Programming 2,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-CC-DISCRET12-59960,Discrete Structures,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-PE102-16006,Exercise-based Fitness Activities (PATHFit 2),UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-NSTP102-26470,National Service Training Program 2,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S12526-STS101-61343,"Science, Technology & Society",UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-RIZAL101-09658,"Life, Works & Writings of Dr. Jose Rizal",UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-CC-DIGILOG21-31069,Digital Logic Design,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-IT-OOPROG21-13700,Object Oriented Programming,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-IT-SAD21-23983,System Analysis & Design,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-CC-ACCTG21-34844,Accounting for IT,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-CC-TWRITE21-90336,Technical Writing & Presentation Skills in IT,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-PE103-19573,Sports and Dance (PATHFit 3),UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S22526-SOCIO102-42361,Gender and Society,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-PHILO101-76889,Ethics,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-CC-QUAMETH22-65636,Quantitative Methods w/ Prob. & Stat.,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-IT-PLATECH22-60458,Platform Technologies w/ Op. Sys.,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-CC-APPSDEV22-31325,Applications Dev't & Emerging Tech.,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-CC-DASTRUC22-61587,Data Structures & Algorithms,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-CC-DATACOM22-58961,Data Communications,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-PE104-75387,"Sports, Outdoor and Adventure (PATHFit 4)",UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S12526-IT-IMDBSYS31-01270,Information Management (DB Sys.1),UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-IT-NETWORK31-64185,Computer Networks,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-IT-TESTQUA31-16051,Testing & Quality Assurance,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-CC-HCI31-66345,Human Computer Interaction,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-CC-RESCOM31-95509,Methods of Research in Computing,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-IT-EL-53483,IT Elective 1,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-IT-FRE-09618,Free Elective 1,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-IT-FRE-49856,Free Elective 2,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S22526-IT-IMDBSYS32-84908,Information Management (DB Sys. 2),UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-IT-INFOSEC32-72412,Information Assurance & Security,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-IT-SYSARCH32-12168,Systems Integration & Architecture,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-CC-TECHNO32-08683,Technopreneurship,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-IT-INTPROG32-06152,Integrative Prog'g & Technologies,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-IT-SYSADMN32-76363,Systems Administration & Maintenance,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-IT-EL-76211,IT Elective 2,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-IT-FRE-62776,Free Elective 3,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S12526-LIT101-65800,Literatures of the World,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-IT-CPSTONE41-24507,Capstone Project 1,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-CC-PROFIS10-06374,Professional Issues in Computing,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S12526-IT-EL-14195,IT Elective 3,UCLM / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCLM-S22526-CC-PRACT40-64469,Practicum,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S22526-IT-CPSTONE42-91908,Capstone Project 2,UCLM / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCLM-S02526-ELPHP1-10589,PHP Programming Module 1,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-ELPHP2-79583,PHP Programming Module 2,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-ELDNET1-67991,.NET Programming Module 1,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-ELDNET2-53135,.NET Programming Module 2,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-ELDROID1-76646,ANDROID Programming Module 1,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-ELDROID2-06557,ANDROID Programming Module 2,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-ELCCNA1-84132,"Enterprise Networking, Security and Automation",UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-ELCCNA2-52181,Infrastructure Automation,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-ELEMSYS-85323,Embedded Systems & IoT,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-ELAI-08344,Fundamentals of Artificial Intelligence,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-ELASI-94803,ASI-UC Jumpstart Program,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-ELBIZAN1-47070,Business Analytics Module 1,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-ELBIZAN2-35689,Business Analytics Module 2,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-ELPYTHON-21819,Python Programming,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-FREDTHINK-91626,Principles of Design Thinking,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-FREFORLAN-38354,Foreign Language,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-FREIP-59333,Introduction to Intellectual Property,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-FRETRNDS-97581,Emerging Technologies in ICT,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-FREPM-48548,Introduction to Project Management,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-FRECIS-98936,Cloud Infrastructure Services,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-FREISM-16754,Information Storage Management,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-FREDX-25399,Introduction to Digital Transformation,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-FRELEAN-12072,Lean Startup Methodology,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-FREKYI-09745,Know-Your-Industry/Corporate Readiness,UCLM / S02526 / CCS / BSIT,,,1
UCLM-S02526-FRECERT-49305,Professional Certifications Review,UCLM / S02526 / CCS / BSIT,,,1
