shortname,fullname,category_path,startdate,enddate,visible
ENTREP101,The Entrepreneurial Mind,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
SOCIO 101,The Contemporary World,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
HUM 101,Art Appreciation,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
MATH 101,Mathematics in the Modern World,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
CC-INTCOM11,Introduction to Computing,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
CC-COMPROG11,Computer Programming 1,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
PE 101,Movement Competency Training (PATHFit 1),UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
NSTP 101,Nat'l Service Training Program 1,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
PSYCH 101,Understanding the Self,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
ENGL 101,Purposive Communication,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
HIST 101,Readings in Philippine History,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
CC-COMPROG12,Computer Programming 2,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
CS-DISCRET12,Discrete Structures 1,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
CC-TWRITE12,Tech. Writing & Presentation Skills in IT,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
PE 102,Exercise-based Fitness Activities (PATHFit 2),UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
NSTP 102,Nat'l Service Training Program 2,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
STS 101,"Science, Technology & Society",UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
RIZAL 101,"Life, Works & Writings of Dr. Jose Rizal",UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
CS-DISCRET21,Discrete Structures 2,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
CC-DASTRUC21,Data Structures & Algorithms,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
CC-QUAMETH21,Quantitative Methods w/ Prob. & Stat.,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
CS-DIFFCAL21,Differential Calculus,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
CS-OOPROG21,Object Oriented Programming,UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
PE 103,Sports and Dance (PATHFit 3),UCMN / S12526 / CCS / BSCS,2025-08-01,2025-12-18,1
SOCIO 102,Gender and Society,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
PHILO 101,Ethics,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
CC-DIGILOG22,Digital Logic Design,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
CC-APPSDEV22,Applications Dev't & Emerging Tech.,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
CS-DAALGO22,Design and Analysis of Algorithms,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
CC-DATACOM22,Data Communications,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
CS-INTCALC22,Integral Calculus,UCMN / S22526 / CCS / BSCS,2026-01-20,2026-06-01,1
