shortname,fullname,category_path,startdate,enddate,visible
UCMN-S12526-ENTREP101-24597,The Entrepreneurial Mind,UCMN / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCMN-S12526-SOCIO101-28410,The Contemporary World,UCMN / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCMN-S12526-MATH101-82815,Mathematics in the Modern World,UCMN / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCMN-S12526-CC-INTCOM11-86709,Introduction to Computing,UCMN / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCMN-S12526-CC-COMPROG11-40497,Computer Programming 1,UCMN / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCMN-S12526-IT-WEBDEV11-33612,Web Design & Development,UCMN / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCMN-S12526-PE101-57788,Movement Competency Training (PATHFit 1),UCMN / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCMN-S12526-NSTP101-97765,National Service Training Program 1,UCMN / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCMN-S22526-HUM101-99123,Art Appreciation,UCMN / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCMN-S22526-ENGL101-34876,Purposive Communication,UCMN / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCMN-S22526-PSYCH101-80847,Understanding the Self,UCMN / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCMN-S22526-HIST101-09355,Readings in Philippine History,UCMN / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCMN-S22526-CC-COMPROG12-51090,Computer Programming 2,UCMN / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCMN-S22526-CC-DISCRET12-07633,Discrete Structures,UCMN / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCMN-S22526-PE102-93713,Exercise-based Fitness Activities (PATHFit 2),UCMN / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCMN-S22526-NSTP102-71100,National Service Training Program 2,UCMN / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCMN-S12526-STS101-21642,"Science, Technology & Society",UCMN / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCMN-S12526-RIZAL101-98849,"Life, Works & Writings of Dr. Jose Rizal",UCMN / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCMN-S12526-CC-DIGILOG21-36792,Digital Logic Design,UCMN / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCMN-S12526-IT-OOPROG21-34493,Object Oriented Programming,UCMN / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCMN-S12526-IT-SAD21-00909,System Analysis & Design,UCMN / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCMN-S12526-CC-ACCTG21-39865,Accounting for IT,UCMN / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCMN-S12526-CC-TWRITE21-04230,Technical Writing & Presentation Skills in IT,UCMN / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCMN-S12526-PE103-73008,Sports and Dance (PATHFit 3),UCMN / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCMN-S22526-SOCIO102-05086,Gender and Society,UCMN / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCMN-S22526-PHILO101-95272,Ethics,UCMN / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCMN-S22526-CC-QUAMETH22-42243,Quantitative Methods w/ Prob. & Stat.,UCMN / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCMN-S22526-IT-PLATECH22-73905,Platform Technologies w/ Op. Sys.,UCMN / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCMN-S22526-CC-APPSDEV22-51468,Applications Dev't & Emerging Tech.,UCMN / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
