shortname,fullname,category_path,startdate,enddate,visible
UCPT-S12526-ENTREP101-37749,The Entrepreneurial Mind,UCPT / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCPT-S12526-SOCIO101-41816,The Contemporary World,UCPT / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCPT-S12526-MATH101-20336,Mathematics in the Modern World,UCPT / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCPT-S12526-CC-INTCOM11-99169,Introduction to Computing,UCPT / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCPT-S12526-CC-COMPROG11-51898,Computer Programming 1,UCPT / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCPT-S12526-IT-WEBDEV11-92690,Web Design & Development,UCPT / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCPT-S12526-PE101-14670,Movement Competency Training (PATHFit 1),UCPT / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCPT-S12526-NSTP101-82119,National Service Training Program 1,UCPT / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCPT-S22526-HUM101-94264,Art Appreciation,UCPT / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCPT-S22526-ENGL101-85761,Purposive Communication,UCPT / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCPT-S22526-PSYCH101-06093,Understanding the Self,UCPT / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCPT-S22526-HIST101-52207,Readings in Philippine History,UCPT / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCPT-S22526-CC-COMPROG12-64799,Computer Programming 2,UCPT / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCPT-S22526-CC-DISCRET12-82877,Discrete Structures,UCPT / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCPT-S22526-PE102-01980,Exercise-based Fitness Activities (PATHFit 2),UCPT / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCPT-S22526-NSTP102-86050,National Service Training Program 2,UCPT / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCPT-S12526-STS101-27251,"Science, Technology & Society",UCPT / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCPT-S12526-RIZAL101-49907,"Life, Works & Writings of Dr. Jose Rizal",UCPT / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCPT-S12526-CC-DIGILOG21-61900,Digital Logic Design,UCPT / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCPT-S12526-IT-OOPROG21-45881,Object Oriented Programming,UCPT / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCPT-S12526-IT-SAD21-98932,System Analysis & Design,UCPT / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCPT-S12526-CC-ACCTG21-40755,Accounting for IT,UCPT / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCPT-S12526-CC-TWRITE21-44824,Technical Writing & Presentation Skills in IT,UCPT / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCPT-S12526-PE103-54762,Sports and Dance (PATHFit 3),UCPT / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCPT-S22526-SOCIO102-92916,Gender and Society,UCPT / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCPT-S22526-PHILO101-79610,Ethics,UCPT / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCPT-S22526-CC-QUAMETH22-80459,Quantitative Methods w/ Prob. & Stat.,UCPT / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCPT-S22526-IT-PLATECH22-20089,Platform Technologies w/ Op. Sys.,UCPT / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCPT-S22526-CC-APPSDEV22-55577,Applications Dev't & Emerging Tech.,UCPT / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCPT-S22526-CC-DASTRUC22-27137,Data Structures & Algorithms,UCPT / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCPT-S22526-CC-DATACOM22-29858,Data Communications,UCPT / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCPT-S22526-PE104-91010,"Sports, Outdoor and Adventure (PATHFit 4)",UCPT / S22526 / CCS / BSIT,2026-01-20,2026-06-01,1
UCPT-S12526-IT-IMDBSYS31-52737,Information Management (DB Sys.1),UCPT / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
UCPT-S12526-IT-NETWORK31-02096,Computer Networks,UCPT / S12526 / CCS / BSIT,2025-08-01,2025-12-18,1
